"","source","target"
"621","Kiangnan College","Harvard University"
"622","Boone University","Harvard University"
"623","Chiu Shih School","Stanford University"
"624","Chiu Shih School","University of California"
"625","Nanyang College","Stanford University"
"626","Nanyang College","University of California"
"627","Peiyang University","Harvard University"
"628","Tientsin Middle School","Harvard University"
"629","Peking Methodist University","Ohio Wesleyan University"
"630","Peking Methodist University","University of Illinois"
"631","Peking Methodist University","Yale University"
"632","Nankai School","Cornell University"
"633","Nankai School","Williston Seminary"
"634","Nankiang College of Science","Cornell University"
"635","Nankiang College of Science","Williston Seminary"
"636","Peking Customs College","Cornell University"
"637","Peking Customs College","Williston Seminary"
"638","Boone University","Harvard University"
"639","Boone University","Western Reserve University"
"640","Shankiang College","Harvard University"
"641","Shankiang College","Western Reserve University"
"642","Peiyang University","Columbia University"
"643","Peiyang University","Harvard University"
"644","Peiyang University","Massachusetts Institute of Technology"
"645","Soochow University","Columbia University"
"646","Soochow University","Harvard University"
"647","Soochow University","Massachusetts Institute of Technology"
"648","Nanyang College","Massachusetts Institute of Technology"
"649","Nanyang College","University of Illinois"
"650","Tangshan Railway and Engineering College","Massachusetts Institute of Technology"
"651","Tangshan Railway and Engineering College","University of Illinois"
"652","Cheng-Chih School","Cornell University"
"653","Kiangnan College","Cornell University"
"654","Nanyang College","Columbia University"
"655","Nanyang College","University of California"
"656","Tientsin Military School","Columbia University"
"657","Tientsin Military School","University of California"
"658","Shantung Provincial College","New Bedford Textile College"
"659","Shantung Provincial College","Valparaiso University"
"660",NA,"Harvard University"
"661",NA,"University of Pennsylvania"
"662",NA,"Yale University"
"663",NA,"Lehigh University"
"664",NA,"University of Wisconsin"
"665",NA,"University of Wisconsin"
"666",NA,"Charles City College"
"667",NA,"University of California"
"668",NA,"University of Chicago"
"669",NA,"University of Illinois"
"670",NA,"Cook Academy"
"671",NA,"Cornell University"
"672",NA,"Philadelphia Textile School"
"673",NA,"University of Pennsylvania"
"674",NA,"Ithaca High School"
"675",NA,"Philadelphia Textile School"
"676",NA,"Grass Valley High School"
"677",NA,"Medhurst College"
"678",NA,"Norwich University"
"679",NA,"University of California"
"680",NA,"Harvard University"
"681",NA,"Capital University"
"682",NA,"Columbia University"
"683",NA,"University of North Carolina"
"684",NA,"Eastman College"
"685",NA,"New Bedford Textile College"
"686",NA,"Oakland Polytechnic College"
"687",NA,"Yale University"
"688",NA,"Sheffield Scientific School"
"689",NA,"University of Michigan"
"690",NA,"Yale University"
"691",NA,"Cornell University"
"692",NA,"Yale University"
"693",NA,"University of Michigan"
"694",NA,"University of Pennsylvania"
"695",NA,"Pacific College"
"696",NA,"San Francisco Dental College"
"697",NA,"Columbia University"
"698",NA,"Morgan Park Academy"
"699",NA,"Northwestern University"
"700",NA,"Hartford Grammar School"
"701",NA,"Hartford High School"
"702",NA,"Yale University"
"703",NA,"Steven's Institute of Technology"
"704",NA,"Syracuse University"
"705",NA,"University of Pennsylvania"
"706",NA,"Yale University"
"707",NA,"Columbia University"
"708",NA,"Stuyvessant High School"
"709",NA,"University of Wisconsin"
"710",NA,"Wisconsin Academy"
"711",NA,"Columbia University"
"712",NA,"Cook Academy"
"713",NA,"Cornell University"
"714",NA,"Cornell University"
"715",NA,"Brown University"
"716",NA,"Massachusetts Institute of Technology"
